time,state,measured_state,passed_time_in_NORMAL,passed_time_in_DEGRADED,passed_time_in_CRITICAL,passed_time_in_FAILURE,mean_reaction_time_degraded,mean_reaction_time_critical,total_maintenances,total_maintenance_time,unnecessary_maintenances,degraded_maintenances,critical_maintenances,total_broker_messages,upkeep_broker_messages,necessary_upkeep_broker_messages,available_teams,time_with_available_teams,time_without_available_teams,qlearning_epsilon,total_reward,total_positive_reward,total_positive_reward_qty,total_non_positive_reward,total_non_positive_reward_qty,qtable_size
7560000,NORMAL:0,0.0,7560000,0,0,0,49000.0,0,2,0,0,2,0,208438,2,2,2,7560000,0,1e-06,591552.4977203647,591552.4977203647,208438,0,0,16219
7620000,NORMAL:0,0.0,7620000,0,0,0,49000.0,0,2,0,0,2,0,210093,2,2,2,7620000,0,1e-06,597631.2477203647,597631.2477203647,210093,0,0,16219
7680000,NORMAL:0,0.0,7680000,0,0,0,49000.0,0,2,0,0,2,0,211748,2,2,2,7680000,0,1e-06,603709.9977203647,603709.9977203647,211748,0,0,16219
7740000,NORMAL:0,0.0,7740000,0,0,0,49000.0,0,2,0,0,2,0,213402,2,2,2,7740000,0,1e-06,609787.2477203647,609787.2477203647,213402,0,0,16219
7800000,NORMAL:0,0.0,7800000,0,0,0,49000.0,0,2,0,0,2,0,215057,2,2,2,7800000,0,1e-06,615865.9977203647,615865.9977203647,215057,0,0,16219
7860000,NORMAL:0,0.0,7860000,0,0,0,49000.0,0,2,0,0,2,0,216712,2,2,2,7860000,0,1e-06,621938.7477203647,621938.7477203647,216712,0,0,16219
7920000,NORMAL:0,0.0,7920000,0,0,0,49000.0,0,2,0,0,2,0,218365,2,2,2,7920000,0,1e-06,628014.4977203647,628014.4977203647,218365,0,0,16219
7980000,NORMAL:0,0.0,7980000,0,0,0,49000.0,0,2,0,0,2,0,220020,2,2,2,7980000,0,1e-06,634087.2477203647,634087.2477203647,220020,0,0,16219
8040000,NORMAL:0,0.0,8040000,0,0,0,49000.0,0,2,0,0,2,0,221676,2,2,2,8040000,0,1e-06,640173.4977203647,640173.4977203647,221676,0,0,16219
8100000,NORMAL:0,0.0,8100000,0,0,0,49000.0,0,2,0,0,2,0,223330,2,2,2,8100000,0,1e-06,646250.7477203647,646250.7477203647,223330,0,0,16219
8160000,NORMAL:0,0.0,8160000,0,0,0,49000.0,0,2,0,0,2,0,224986,2,2,2,8160000,0,1e-06,652330.9977203647,652330.9977203647,224986,0,0,16219
8220000,NORMAL:0,0.0,8220000,0,0,0,49000.0,0,2,0,0,2,0,226639,2,2,2,8220000,0,1e-06,658400.7477203647,658400.7477203647,226639,0,0,16219
8280000,NORMAL:0,0.0,8280000,0,0,0,49000.0,0,2,0,0,2,0,228294,2,2,2,8280000,0,1e-06,664479.4977203647,664479.4977203647,228294,0,0,16219
8340000,NORMAL:0,0.0,8340000,0,0,0,49000.0,0,2,0,0,2,0,229948,2,2,2,8340000,0,1e-06,670550.7477203647,670550.7477203647,229948,0,0,16219
8400000,NORMAL:0,0.0,8400000,0,0,0,49000.0,0,2,0,0,2,0,231603,2,2,2,8400000,0,1e-06,676629.4977203647,676629.4977203647,231603,0,0,16219
8460000,NORMAL:0,0.0,8460000,0,0,0,49000.0,0,2,0,0,2,0,233258,2,2,2,8460000,0,1e-06,682708.2477203647,682708.2477203647,233258,0,0,16219
8520000,NORMAL:0,0.0,8520000,0,0,0,49000.0,0,2,0,0,2,0,234913,2,2,2,8520000,0,1e-06,688792.9977203647,688792.9977203647,234913,0,0,16219
8580000,NORMAL:0,0.0,8580000,0,0,0,49000.0,0,2,0,0,2,0,236568,2,2,2,8580000,0,1e-06,694865.7477203647,694865.7477203647,236568,0,0,16219
8640000,NORMAL:0,0.0,8640000,0,0,0,49000.0,0,2,0,0,2,0,238222,2,2,2,8640000,0,1e-06,700942.9977203647,700942.9977203647,238222,0,0,16219
